,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
4088,David Thirdkill,Power Forward and Small Forward,1982,6-7,Bradley University,"St. Louis, Missouri","April 12, 1960",Phoenix Suns,15th overall,"Soldan in St. Louis, Missouri"
4093,Etan Thomas,Power Forward and Center,2000,6-9,Syracuse University,"Harlem, New York","April 1, 1978",Dallas Mavericks,12th overall,"Booker T. Washington in Tulsa, Oklahoma"
4095,Isaiah Thomas,Point Guard and Shooting Guard,2011,5-9,University of Washington,"Tacoma, Washington","February 7, 1989",Sacramento Kings,60th overall,"South Kent School in South Kent, Connecticut"
4096,Isiah Thomas,Point Guard,1981,6-1,Indiana University,"Chicago, Illinois","April 30, 1961",Detroit Pistons,2nd overall,"St. Joseph in Westchester, Illinois"
4099,Jim Thomas,Shooting Guard,1983,6-3,Indiana University,"Lakeland, Florida","October 19, 1960",Indiana Pacers,40th overall,"Nova in Fort Lauderdale, Florida"
4100,Joe Thomas,Small Forward,1970,6-6,Marquette University,"Canton, Georgia","March 9, 1948",Phoenix Suns,95th overall,"Marist School in Atlanta, Georgia"
4101,John Thomas,Power Forward and Center,1997,6-9,University of Minnesota,"Minneapolis, Minnesota","September 8, 1975",New York Knicks,25th overall,"Roosevelt in Minneapolis, Minnesota"
4102,Kenny Thomas,Power Forward,1999,6-7,University of New Mexico,"Atlanta, Georgia","July 25, 1977",Houston Rockets,22nd overall,"Albuquerque in Albuquerque, New Mexico"
4103,Khyri Thomas,Shooting Guard,2018,6-3,Creighton University,"Omaha, Nebraska","May 8, 1996",Philadelphia 76ers,38th overall,"Fork Union Military Academy in Fork Union, Virginia"
4104,Kurt Thomas,Center and Power Forward,1995,6-9,Texas Christian University,"Dallas, Texas","October 4, 1972",Miami Heat,10th overall,"Hillcrest in Dallas, Texas"
4107,Ronald Thomas,Power Forward,1972,6-6,University of Louisville,"Louisville, Kentucky","November 19, 1950",Seattle SuperSonics,90th overall,"Thomas Jefferson in Louisville, Kentucky"
4109,Tim Thomas,Power Forward and Small Forward,1997,6-10,Villanova University,"Paterson, New Jersey","February 26, 1977",New Jersey Nets,7th overall,"Paterson Catholic in Paterson, New Jersey"
4110,Tyrus Thomas,Power Forward and Center,2006,6-9,Louisiana State University,"Baton Rouge, Louisiana","August 17, 1986",Portland Trail Blazers,4th overall,"McKinley in Baton Rouge, Louisiana"
4112,Trey Thompkins,Center,2011,6-10,University of Georgia,"Long Island, New York","May 20, 1990",Los Angeles Clippers,37th overall,"Wesleyan School in Norcross, Georgia"
4113,Bernard Thompson,Small Forward and Power Forward and Shooting Guard,1984,6-6,"California State University, Fresno","Phoenix, Arizona","August 30, 1962",Portland Trail Blazers,19th overall,"South Mountain in Phoenix, Arizona"
4114,Billy Thompson,Small Forward,1986,6-7,University of Louisville,"Camden, New Jersey","December 1, 1963",Atlanta Hawks,19th overall,"Camden in Camden, New Jersey"
4115,Brooks Thompson,Point Guard,1994,6-4,"Texas A&M University, Oklahoma State University","Dallas, Texas","July 19, 1970",Orlando Magic,27th overall,"Littleton in Littleton, Colorado"
4116,Corny Thompson,Power Forward,1982,6-8,University of Connecticut,"Middletown, Connecticut","February 5, 1960",Dallas Mavericks,50th overall,"Middletown in Middletown, Connecticut"
4117,David Thompson,Shooting Guard and Small Forward,1975,6-4,North Carolina State University,"Shelby, North Carolina","July 13, 1954",Atlanta Hawks,1st overall,"Crest in Shelby, North Carolina"
4118,Dijon Thompson,Shooting Guard and Small Forward,2005,6-7,"University of California, Los Angeles","Los Angeles, California","February 23, 1983",New York Knicks,54th overall,"Redondo Union in Redondo Beach, California"
4119,George Thompson,Point Guard and Shooting Guard,1969,6-2,Marquette University,"Brooklyn, New York","November 29, 1947",Boston Celtics,66th overall,"Erasmus Hall in Brooklyn, New York"
4122,Jason Thompson,Power Forward and Center,2008,6-11,Rider University,"Camden, New Jersey","July 21, 1986",Sacramento Kings,12th overall,"Lenape in Medford, New Jersey"
4123,John Thompson,Center and Power Forward,1964,6-10,Providence College,"Washington, District of Columbia","September 2, 1941",Boston Celtics,25th overall,"Archbishop Carroll in Washington, District of Columbia"
4124,Kevin Thompson,Center,1993,6-11,North Carolina State University,"Winston-Salem, North Carolina","February 7, 1971",Portland Trail Blazers,48th overall,"Glenn in Winston-Salem, North Carolina"
4125,Klay Thompson,Shooting Guard,2011,6-7,Washington State University,"Los Angeles, California","February 8, 1990",Golden State Warriors,11th overall,"Santa Margarita Catholic in Rancho Santa Margarita, California"
4126,LaSalle Thompson,Center,1982,6-10,University of Texas at Austin,"Cincinnati, Ohio","June 23, 1961",Kansas City Kings,5th overall,"Withrow in Cincinnati, Ohio"
4127,Mychal Thompson,Center and Power Forward,1978,6-10,University of Minnesota,"Nassau, Bahamas","January 30, 1955",Portland Trail Blazers,1st overall,"Jackson in Miami, Florida"
4129,Paul Thompson,Small Forward,1983,6-6,Tulane University,"Smyrna, Tennessee","May 25, 1961",Cleveland Cavaliers,50th overall,"Peabody in Alexandria, Louisiana"
4131,Tristan Thompson,Power Forward and Center,2011,6-10,University of Texas at Austin,"Toronto, Canada","March 13, 1991",Cleveland Cavaliers,4th overall,"Findlay College Prep in Henderson, Nevada"
4132,Skip Thoren,Center,1965,6-10,University of Illinois at Urbana-Champaign,"Rockford, Illinois","April 5, 1943",Baltimore Bullets,30th overall,"East in Rockford, Illinois"
4133,Rod Thorn,Shooting Guard and Point Guard,1963,6-4,West Virginia University,"Princeton, West Virginia","May 23, 1941",Baltimore Bullets,2nd overall,"Princeton in Princeton, West Virginia"
4134,Al Thornton,Small Forward and Power Forward,2007,6-8,Florida State University,"Perry, Georgia","December 7, 1983",Los Angeles Clippers,14th overall,"Perry in Perry, Georgia"
4135,Bob Thornton,Power Forward,1984,6-10,"University of California, Irvine","Los Angeles, California","July 10, 1962",New York Knicks,87th overall,"Mission Viejo in Mission Viejo, California"
4136,Dallas Thornton,Small Forward,1968,6-4,Kentucky Wesleyan College,"Louisville, Kentucky","September 1, 1946",Baltimore Bullets,40th overall,"Male in Louisville, Kentucky"
4137,Marcus Thornton,Shooting Guard,2009,6-4,Louisiana State University,"Baton Rouge, Louisiana","June 5, 1987",Miami Heat,43rd overall,"Tara in Baton Rouge, Louisiana"
4138,Sindarius Thornwell,Shooting Guard,2017,6-5,University of South Carolina,"Lancaster, South Carolina","November 15, 1994",Milwaukee Bucks,48th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
4139,Otis Thorpe,Center and Power Forward,1984,6-9,Providence College,"Boynton Beach, Florida","August 5, 1962",Kansas City Kings,9th overall,"Lake Worth Community in Lake Worth, Florida"
4140,Sedale Threatt,Point Guard and Shooting Guard,1983,6-2,West Virginia University Institute of Technology,"Atlanta, Georgia","September 10, 1961",Philadelphia 76ers,139th overall,"Therrell in Atlanta, Georgia"
4141,Nate Thurmond,Power Forward and Center,1963,6-11,Bowling Green State University,"Akron, Ohio","July 25, 1941",San Francisco Warriors,3rd overall,"Central in Akron, Ohio"
4145,Darren Tillis,Center,1982,6-11,Cleveland State University,"Dallas, Texas","February 23, 1960",Boston Celtics,23rd overall,"Lincoln in Dallas, Texas"
4147,George Tinsley,Small Forward,1969,6-5,Kentucky Wesleyan College,"Louisville, Kentucky","September 19, 1946",Chicago Bulls,76th overall,"Male in Louisville, Kentucky"
4148,Jamaal Tinsley,Point Guard,2001,6-3,Iowa State University,"Brooklyn, New York","February 28, 1978",Memphis Grizzlies,27th overall,"Samuel J. Tilden in Brooklyn, New York"
4149,Wayman Tisdale,Power Forward,1985,6-9,University of Oklahoma,"Tulsa, Oklahoma","June 9, 1964",Indiana Pacers,2nd overall,"Booker T. Washington in Tulsa, Oklahoma"
4152,Ray Tolbert,Power Forward,1981,6-9,Indiana University,"Anderson, Indiana","September 10, 1958",New Jersey Nets,18th overall,"Madison Heights in Anderson, Indiana"
4153,Tom Tolbert,Power Forward and Small Forward,1988,6-7,"University of California, Irvine, University of Arizona","Long Beach, California","October 16, 1965",Charlotte Hornets,34th overall,"Artesia HS in Lakewood, California"
4155,Dean Tolson,Power Forward,1974,6-8,University of Arkansas,"Kansas City, Missouri","November 25, 1951",Seattle SuperSonics,80th overall,"Central in Kansas City, Missouri"
4156,Rudy Tomjanovich,Power Forward and Small Forward,1970,6-8,University of Michigan,"Hamtramck, Michigan","November 24, 1948",San Diego Rockets,2nd overall,"Hamtramck in Hamtramck, Michigan"
4157,Andrew Toney,Shooting Guard,1980,6-3,University of Louisiana at Lafayette,"Birmingham, Alabama","November 23, 1957",Philadelphia 76ers,8th overall,"Glenn in Birmingham, Alabama"
4158,Sedric Toney,Point Guard,1985,6-2,University of Dayton,"Columbus, Mississippi","April 13, 1962",Atlanta Hawks,59th overall,"Wilbur Wright in Dayton, Ohio"
4159,Andy Tonkovich,Guard,1948,6-1,Marshall University,"Barrackville, West Virginia","November 1, 1922",Providence Steamrollers,1st overall,"Union in Benwood, West Virginia"
4162,Bernard Toone,Power Forward,1979,6-9,Marquette University,"Yonkers, New York","July 14, 1956",Philadelphia 76ers,37th overall,"Gorton in Yonkers, New York"
4164,Gene Tormohlen,Center,1959,6-8,University of Tennessee,"Holland, Indiana","May 12, 1937",Syracuse Nationals,11th overall,"Holland in Holland, Indiana"
4166,Bill Tosheff,Point Guard,1951,6-1,Indiana University,"Gary, Indiana","June 2, 1926",Indianapolis Olympians,32nd overall,"Froebel in Gary, Indiana"
4169,Monte Towe,Point Guard,1975,5-7,North Carolina State University,"Marion, Indiana","September 27, 1953",Atlanta Hawks,57th overall,"Oak Hill in Oak Hill, Indiana"
4172,Linton Townes,Small Forward,1982,6-7,James Madison University,"Richmond, Virginia","November 30, 1959",Portland Trail Blazers,33rd overall,"Covington in Covington, Virginia"
4173,Karl-Anthony Towns,Center,2015,7-0,University of Kentucky,"Edison, New Jersey","November 15, 1995",Minnesota Timberwolves,1st overall,"St. Joseph in Metuchen, New Jersey"
4174,Raymond Townsend,Shooting Guard,1978,6-3,"University of California, Los Angeles","San Jose, California","December 20, 1955",Golden State Warriors,22nd overall,"Camden in San Jose, California"
4175,George Trapp,Power Forward,1971,6-8,"California State University, Long Beach","Detroit, Michigan","July 11, 1948",Atlanta Hawks,5th overall,"Highland Park in Highland Park, Michigan"
4176,John Trapp,Small Forward,1968,6-7,"University of Nevada, Las Vegas","Detroit, Michigan","October 2, 1945",San Diego Rockets,15th overall,"Highland Park in Highland Park, Michigan"
4177,Robert Traylor,Power Forward and Center,1998,6-8,University of Michigan,"Detroit, Michigan","February 1, 1977",Dallas Mavericks,6th overall,"Murray-Wright in Detroit, Michigan"
4178,Gary Trent,Small Forward and Power Forward and Center,1995,6-8,Ohio University,"Columbus, Ohio","September 22, 1974",Milwaukee Bucks,11th overall,"Hamilton Township in Columbus, Ohio"
4179,Gary Trent Jr.,Shooting Guard,2018,6-6,Duke University,"Columbus, Ohio","January 18, 1999",Sacramento Kings,37th overall,"Prolific Prep in Napa, California"
4180,Jeff Trepagnier,Shooting Guard,2001,6-4,University of Southern California,"Los Angeles, California","July 11, 1979",Cleveland Cavaliers,36th overall,"Compton in Compton, California"
4184,Kelly Tripucka,Small Forward,1981,6-6,University of Notre Dame,"Glen Ridge, New Jersey","February 16, 1959",Detroit Pistons,12th overall,"Bloomfield in Bloomfield, New Jersey"
4185,Ansley Truitt,Power Forward,1972,6-9,University of California,"West Point, Georgia","August 24, 1950",New York Knicks,41st overall,"Wilson in San Francisco, California"
4191,Al Tucker,Power Forward,1967,6-8,Oklahoma Baptist University,"Dayton, Ohio","February 24, 1943",Seattle SuperSonics,6th overall,"Jefferson Township in Dayton, Ohio"
4192,Alando Tucker,Small Forward and Shooting Guard,2007,6-6,University of Wisconsin,"Lockport, Illinois","February 11, 1984",Phoenix Suns,29th overall,"Township in Lockport, Illinois"
4195,P.J. Tucker,Small Forward and Shooting Guard and Power Forward,2006,6-6,University of Texas at Austin,"Raleigh, North Carolina","May 5, 1985",Toronto Raptors,35th overall,"Enloe in Raleigh, North Carolina"
4196,Trent Tucker,Shooting Guard,1982,6-5,University of Minnesota,"Tarboro, North Carolina","December 20, 1959",New York Knicks,6th overall,"Flint Northwestern in Flint, Michigan"
4197,Ronny Turiaf,Center,2005,6-10,Gonzaga University,"Le Robert, Martinique","January 13, 1983",Los Angeles Lakers,37th overall,"Institut National du Sport et de l'Education Physique in Paris, France"
4200,Andre Turner,Point Guard,1986,5-11,University of Memphis,"Memphis, Tennessee","December 13, 1964",Los Angeles Lakers,69th overall,"Mitchell in Memphis, Tennessee"
4202,Elston Turner,Small Forward and Shooting Guard,1981,6-5,University of Mississippi,"Knoxville, Tennessee","June 10, 1959",Dallas Mavericks,43rd overall,"Austin-East in Knoxville, Tennessee"
4203,Evan Turner,Small Forward and Shooting Guard and Point Guard,2010,6-7,Ohio State University,"Chicago, Illinois","October 27, 1988",Philadelphia 76ers,2nd overall,"St. Joseph in Westchester, Illinois"
4208,Jack Turner,Shooting Guard,1961,6-5,University of Louisville,"Newport, Kentucky","June 5, 1939",Chicago Packers,18th overall,"Newport in Newport, Kentucky"
4209,Jeff Turner,Small Forward and Power Forward,1984,6-9,Vanderbilt University,"Bangor, Maine","April 9, 1962",New Jersey Nets,17th overall,"Brandon in Brandon, Florida"
4210,John Turner,Small Forward,1991,6-8,"Georgetown University, Phillips University","Washington, District of Columbia","November 30, 1967",Houston Rockets,20th overall,"Eleanor Roosevelt in Greenbelt, Maryland"
4211,Myles Turner,Center,2015,6-11,University of Texas at Austin,"Bedford, Texas","March 24, 1996",Indiana Pacers,11th overall,"Trinity in Euless, Texas"
4213,Melvin Turpin,Center,1984,6-11,University of Kentucky,"Lexington, Kentucky","December 28, 1960",Washington Bullets,6th overall,"Bryan Station in Lexington, Kentucky"
4214,Dave Twardzik,Point Guard,1972,6-1,Old Dominion University,"Hershey, Pennsylvania","September 20, 1950",Portland Trail Blazers,26th overall,"Middletown in Middletown, Pennsylvania"
4215,Jack Twyman,Shooting Guard and Small Forward,1955,6-6,University of Cincinnati,"Pittsburgh, Pennsylvania","May 11, 1934",Rochester Royals,8th overall,"Central Catholic in Pittsburgh, Pennsylvania"
4216,B.J. Tyler,Point Guard,1994,6-1,"DePaul University, University of Texas at Austin","Galveston, Texas","April 30, 1971",Philadelphia 76ers,20th overall,"Lincoln in Port Arthur, Texas"
4218,Terry Tyler,Power Forward and Small Forward,1978,6-7,University of Detroit Mercy,"Detroit, Michigan","October 30, 1956",Detroit Pistons,23rd overall,"Northwestern in Detroit, Michigan"
4219,Charlie Tyra,Center and Power Forward,1957,6-8,University of Louisville,"Louisville, Kentucky","August 16, 1935",Detroit Pistons,2nd overall,"Atherton in Louisville, Kentucky"
4221,Ekpe Udoh,Power Forward and Center,2010,6-10,"University of Michigan, Baylor University","Edmond, Oklahoma","May 20, 1987",Golden State Warriors,6th overall,"Sante Fe in Edmond, Oklahoma"
4225,Tyler Ulis,Point Guard,2016,5-10,University of Kentucky,"Southfield, Michigan","January 5, 1996",Phoenix Suns,34th overall,"Marian Catholic in Chicago Heights, Illinois"
4226,Wes Unseld,Center,1968,6-7,University of Louisville,"Louisville, Kentucky","March 14, 1946",Baltimore Bullets,2nd overall,"Seneca in Louisville, Kentucky"
4233,Darnell Valentine,Shooting Guard and Point Guard,1981,6-1,University of Kansas,"Chicago, Illinois","February 3, 1959",Portland Trail Blazers,16th overall,"Wichita Heights in Wichita, Kansas"
4234,Denzel Valentine,Shooting Guard,2016,6-6,Michigan State University,"Lansing, Michigan","November 16, 1993",Chicago Bulls,14th overall,"Sexton in Lansing, Michigan"
4235,Ronnie Valentine,Small Forward,1980,6-7,Old Dominion University,"Norfolk, Virginia","November 27, 1957",Denver Nuggets,51st overall,"Norfolk Catholic in Norfolk, Virginia"
4237,Dick Van Arsdale,Shooting Guard,1965,6-5,Indiana University,"Indianapolis, Indiana","February 22, 1943",New York Knicks,10th overall,"Manual in Indianapolis, Indiana"
4238,Tom Van Arsdale,Small Forward and Shooting Guard,1965,6-5,Indiana University,"Indianapolis, Indiana","February 22, 1943",Detroit Pistons,11th overall,"Manual in Indianapolis, Indiana"
4240,Jan van Breda Kolff,Small Forward,1974,6-7,Vanderbilt University,"Palos Verdes, California","December 16, 1951",Portland Trail Blazers,20th overall,"Palos Verdes in Rancho Palos Verdes, California"
4241,Nick Van Exel,Shooting Guard and Point Guard,1993,6-1,"Trinity Valley Community College, University of Cincinnati","Kenosha, Wisconsin","November 27, 1971",Los Angeles Lakers,37th overall,"Saint Joseph's in Kenosha, Wisconsin"
4242,Keith Van Horn,Power Forward and Small Forward,1997,6-10,University of Utah,"Fullerton, California","October 23, 1975",Philadelphia 76ers,2nd overall,"Diamond Bar in Diamond Bar, California"
4243,Norm Van Lier,Point Guard and Shooting Guard,1969,6-1,Saint Francis University,"East Liverpool, Ohio","April 1, 1947",Chicago Bulls,34th overall,"Midland in Midland, Pennsylvania"
4247,Jarred Vanderbilt,Power Forward,2018,6-9,University of Kentucky,"Houston, Texas","April 3, 1999",Orlando Magic,41st overall,"Victory Prep Academy in Houston, Texas"
4249,Kiki Vandeweghe,Small Forward and Power Forward,1980,6-8,"University of California, Los Angeles","Wiesbaden, Germany","August 1, 1958",Dallas Mavericks,11th overall,"Pacific Palisades in Pacific Palisades, California"
4250,Nick Vanos,Center,1985,7-1,Santa Clara University,"San Mateo, California","April 13, 1963",Phoenix Suns,32nd overall,"Hillsdale in San Mateo, California"
4255,Jarvis Varnado,Power Forward,2010,6-9,Mississippi State University,"Fairfax, Virginia","March 1, 1988",Miami Heat,41st overall,"Haywood in Brownsville, Tennessee"
4256,Greivis Vasquez,Point Guard and Shooting Guard,2010,6-6,University of Maryland,"Caracas, Venezuela","January 16, 1987",Memphis Grizzlies,28th overall,"Montrose Christian School in Rockville, Maryland"
4257,Chico Vaughn,Point Guard and Shooting Guard,1962,6-2,Southern Illinois University,"Portland, Oregon","February 19, 1940",St. Louis Hawks,26th overall,"Tamms in Tamms, Illinois"
4258,David Vaughn,Center,1975,6-11,Oral Roberts University,"Nashville, Tennessee","June 4, 1952",New York Knicks,63rd overall,"Cameron in Nashville, Tennessee"
4259,David Vaughn,Power Forward,1995,6-9,University of Memphis,"Tulsa, Oklahoma","March 23, 1973",Orlando Magic,25th overall,"Whites Creek in Whites Creek, Tennessee"
4260,Jacque Vaughn,Shooting Guard and Point Guard,1997,6-1,University of Kansas,"Los Angeles, California","February 11, 1975",Utah Jazz,27th overall,"John Muir in Pasadena, California"
4261,Rashad Vaughn,Shooting Guard,2015,6-6,"University of Nevada, Las Vegas","Minneapolis, Minnesota","August 16, 1996",Milwaukee Bucks,17th overall,"Findlay Prep in Henderson, Nevada"
4263,Loy Vaught,Power Forward,1990,6-9,University of Michigan,"Grand Rapids, Michigan","February 27, 1968",Los Angeles Clippers,13th overall,"East Kentwood in Kentwood, Michigan"
4264,Bob Verga,Point Guard and Shooting Guard,1967,6-1,Duke University,"Neptune, New Jersey","September 7, 1945",St. Louis Hawks,25th overall,"Saint Rose's in Belmar, New Jersey"
4265,Pete Verhoeven,Power Forward,1981,6-9,"California State University, Fresno","Hanford, California","February 15, 1959",Portland Trail Blazers,85th overall,"Hanford in Hanford, California"
4269,Charlie Villanueva,Power Forward,2005,6-11,University of Connecticut,"Queens, New York","August 24, 1984",Toronto Raptors,7th overall,"Blair Academy in Blairstown, New Jersey"
4270,Jay Vincent,Power Forward and Small Forward,1981,6-7,Michigan State University,"Kalamazoo, Michigan","June 10, 1959",Dallas Mavericks,24th overall,"Eastern in Lansing, Michigan"
4271,Sam Vincent,Point Guard and Shooting Guard,1985,6-2,Michigan State University,"Lansing, Michigan","May 18, 1963",Boston Celtics,20th overall,"Eastern in Lansing, Michigan"
4279,Noah Vonleh,Power Forward,2014,6-9,Indiana University,"Salem, Massachusetts","August 24, 1995",Charlotte Hornets,9th overall,"New Hampton School in New Hampton, New Hampshire"
4280,Jake Voskuhl,Center,2000,6-11,University of Connecticut,"Tulsa, Oklahoma","November 1, 1977",Chicago Bulls,33rd overall,"Strake Jesuit College Prepatory in Houston, Texas"
4281,Danny Vranes,Small Forward,1981,6-7,University of Utah,"Salt Lake City, Utah","October 29, 1958",Seattle SuperSonics,5th overall,"Skyline in Salt Lake City, Utah"
4284,Brett Vroman,Center,1978,7-0,"University of California, Los Angeles, University of Nevada, Las Vegas","Hollywood, California","December 25, 1955",Philadelphia 76ers,87th overall,"Provo in Provo, Utah"
4285,Jackson Vroman,Center and Power Forward,2004,6-10,Iowa State University,"Laguna, California","June 6, 1981",Chicago Bulls,31st overall,"Viewmont in Bountiful, Utah"
4286,Nikola Vucevic,Center,2011,7-0,University of Southern California,"Morges, Switzerland","October 24, 1990",Philadelphia 76ers,16th overall,"Stoneridge Preparatory School in Simi Valley, California"
4288,Dwyane Wade,Point Guard and Shooting Guard,2003,6-4,Marquette University,"Chicago, Illinois","January 17, 1982",Miami Heat,5th overall,"Richards in Oak Lawn, Illinois"
4290,Von Wafer,Small Forward and Shooting Guard,2005,6-5,Florida State University,"Homer, Louisiana","July 21, 1985",Los Angeles Lakers,39th overall,"Heritage Christian Academy in Cleveland, Texas"
4292,Dajuan Wagner,Shooting Guard,2002,6-2,University of Memphis,"Camden, New Jersey","February 4, 1983",Cleveland Cavaliers,6th overall,"Camden in Camden, New Jersey"
4294,Milt Wagner,Shooting Guard,1986,6-5,University of Louisville,"Camden, New Jersey","February 20, 1963",Dallas Mavericks,35th overall,"Camden in Camden, New Jersey"
4297,Dion Waiters,Shooting Guard,2012,6-4,Syracuse University,"Philadelphia, Pennsylvania","December 10, 1991",Cleveland Cavaliers,4th overall,"Burlington Life Center Academy in Burlington, New Jersey"
4298,Granville Waiters,Center,1983,6-11,Ohio State University,"Columbus, Ohio","January 8, 1961",Portland Trail Blazers,39th overall,"East in Columbus, Ohio"
4299,Andre Wakefield,Shooting Guard,1978,6-3,Loyola University of Chicago,"Chicago, Illinois","January 11, 1955",Phoenix Suns,107th overall,"Crane Technical Preparatory in Chicago, Illinois"
4300,Neal Walk,Center,1969,6-10,University of Florida,"Cleveland, Ohio","July 29, 1948",Phoenix Suns,2nd overall,"Miami Beach in Miami Beach, Florida"
4301,Andy Walker,Small Forward,1976,6-4,Niagara University,"Long Island City, New York","March 25, 1955",New Orleans Jazz,111th overall,"Long Island City in Queens, New York"
4302,Antoine Walker,Power Forward,1996,6-8,University of Kentucky,"Chicago, Illinois","August 12, 1976",Boston Celtics,6th overall,"Mount Carmel in Chicago, Illinois"
4304,Chet Walker,Small Forward,1962,6-6,Bradley University,"Bethlehem, Mississippi","February 22, 1940",Syracuse Nationals,12th overall,"Benton Harbor in Benton Harbor, Michigan"
4305,Darrell Walker,Point Guard and Shooting Guard,1983,6-4,University of Arkansas,"Chicago, Illinois","March 9, 1961",New York Knicks,12th overall,"Corliss in Chicago, Illinois"
4306,Foots Walker,Point Guard,1974,6-0,State University of West Georgia,"Southampton, New York","May 21, 1951",Cleveland Cavaliers,38th overall,"Southampton in Southampton, New York"
4307,Henry Walker,Small Forward and Shooting Guard,2008,6-6,Kansas State University,"Huntington, West Virginia","October 9, 1987",Washington Wizards,47th overall,"North College Hill in Cincinnati, Ohio"
4308,Horace Walker,Small Forward,1960,6-3,Michigan State University,"Chester, Pennsylvania","April 17, 1937",St. Louis Hawks,30th overall,"Chester in Chester, Pennsylvania"
4309,Jimmy Walker,Point Guard and Shooting Guard,1967,6-3,Providence College,"Amherst, Virginia","April 8, 1944",Detroit Pistons,1st overall,"Laurinburg Institute in Laurinburg, North Carolina"
4310,Kemba Walker,Point Guard,2011,6-1,University of Connecticut,"The Bronx, New York","May 8, 1990",Charlotte Bobcats,9th overall,"Rice in New York, New York"
4311,Kenny Walker,Power Forward and Small Forward,1986,6-8,University of Kentucky,"Roberta, Georgia","August 18, 1964",New York Knicks,5th overall,"Crawford County in Roberta, Georgia"
4312,Lonnie Walker,Shooting Guard,2018,6-5,University of Miami,"Reading, Pennsylvania","December 14, 1998",San Antonio Spurs,18th overall,"Reading HS in Reading, Pennsylvania"
4313,Phil Walker,Shooting Guard,1976,6-3,Millersville University of Pennsylvania,"Philadelphia, Pennsylvania","March 20, 1956",Philadelphia 76ers,117th overall,"Central in Philadelphia, Pennsylvania"
4314,Samaki Walker,Power Forward and Center,1996,6-9,University of Louisville,"Columbus, Ohio","February 25, 1976",Dallas Mavericks,9th overall,"Whitehall in Columbus, Ohio"
4315,Wally Walker,Small Forward,1976,6-7,University of Virginia,"Millersville, Pennsylvania","July 18, 1954",Portland Trail Blazers,5th overall,"Penn Manor in Millersville, Pennsylvania"
4316,John Wall,Point Guard,2010,6-4,University of Kentucky,"Raleigh, North Carolina","September 6, 1990",Washington Wizards,1st overall,"Word of God Academy in Raleigh, North Carolina"
4318,Gerald Wallace,Small Forward and Power Forward,2001,6-7,University of Alabama,"Sylacauga, Alabama","July 23, 1982",Sacramento Kings,25th overall,"Childersburg in Childersburg, Alabama"
4319,John Wallace,Small Forward,1996,6-8,Syracuse University,"Rochester, New York","February 9, 1974",New York Knicks,18th overall,"Greece Athena in Rochester, New York"
4320,Rasheed Wallace,Center and Power Forward,1995,6-10,University of North Carolina,"Philadelphia, Pennsylvania","September 17, 1974",Washington Bullets,4th overall,"Simon Gratz in Philadelphia, Pennsylvania"
4322,Tyrone Wallace,Point Guard,2016,6-5,University of California,"Bakersfield, California","June 10, 1994",Utah Jazz,60th overall,"Bakersfield in Bakersfield, California"
4323,Dwight Waller,Forward,1968,6-6,Tennessee State University,"Brownsville, Tennessee","October 5, 1945",Atlanta Hawks,131st overall,"Brownsville in Brownsville, Tennessee"
4324,Jamie Waller,Shooting Guard,1987,6-4,Virginia Union University,"South Boston, Virginia","November 20, 1964",New Jersey Nets,48th overall,"Halifax County in South Boston, Virginia"
4325,Taurean Prince,Small Forward,2016,6-8,Baylor University,"San Marcos, Texas","March 22, 1994",Utah Jazz,12th overall,"Earl Warren in San Antonio, Texas"
4328,Rex Walters,Point Guard and Shooting Guard,1993,6-4,"Northwestern University, University of Kansas","Omaha, Nebraska","March 12, 1970",New Jersey Nets,16th overall,"Independence in San Jose, California"
4331,Bill Walton,Center,1974,6-11,"University of California, Los Angeles","La Mesa, California","November 5, 1952",Portland Trail Blazers,1st overall,"Helix in La Mesa, California"
4333,Lloyd Walton,Point Guard,1976,6-0,Marquette University,"Chicago, Illinois","November 23, 1953",Milwaukee Bucks,40th overall,"Mount Carmel in Chicago, Illinois"
4334,Luke Walton,Power Forward and Small Forward,2003,6-8,University of Arizona,"San Diego, California","March 28, 1980",Los Angeles Lakers,32nd overall,"University in San Diego, California"
4336,Bobby Wanzer,Point Guard and Shooting Guard,1948,6-0,Seton Hall University,"Brooklyn, New York","June 4, 1921",Rochester Royals,10th overall,"Benjamin Franklin in New York, New York"
4337,Perry Warbington,Point Guard,1974,6-2,Georgia Southern University,"Atlanta, Georgia","September 7, 1952",Philadelphia 76ers,145th overall,"Price in Atlanta, Georgia"
4338,Charlie Ward,Point Guard,1994,6-2,Florida State University,"Thomasville, Georgia","October 12, 1970",New York Knicks,26th overall,"Thomasville Central in Thomasville, Georgia"
4343,Ben Warley,Small Forward and Power Forward,1960,6-5,Tennessee State University,"Washington, District of Columbia","September 4, 1936",Los Angeles Lakers,27th overall,"Phelps Vocational in Washington, District of Columbia"
4345,Cornell Warner,Power Forward and Center,1970,6-9,Jackson State University,"Jackson, Mississippi","August 12, 1948",Buffalo Braves,24th overall,"Lanier in Jackson, Mississippi"
4347,Bob Warren,Shooting Guard,1968,6-5,Vanderbilt University,"Murray, Kentucky","July 17, 1946",Atlanta Hawks,47th overall,"South Marshall in Benton, Kentucky"
